615,616,283,,Wo 9003,,,0.125701,-23.818719,33.0469,319.74,92.09,-46,8.7,6.104,K0V,0.798,30.215476,0.994741,-13.345633,-0.00003874,0.00004998,0.0000325,0.032908447,-0.415715075,1.55014E-06,4.46465E-07,,,Cet,1,615,,0.315064883,,,
676,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.0000265,0.036597163,0.507723818,6.57795E-07,-7.90004E-07,Alp,21,And,1,676,,114.4985535,Alp,2.083,2.063
685,687,,,NN 3008,,,0.140912,17.4243,21.7486,-92.54,-63.62,0,10.73,9.043,M0,1.46,20.736513,0.765325,6.51252,0.00000237,-0.00000968,-0.0000064,0.036890605,0.304111401,-4.48647E-07,-3.08438E-07,,,Peg,1,685,,0.021028098,,10.802,10.682
697,699,400,17,Gl 6,,,0.14471,36.627125,32.4465,-114.72,-124.6,-15.2,6.21,3.654,F8IV,0.504,26.020663,0.986231,19.357659,-0.0000001,-0.00001806,-0.000025,0.037884887,0.639263927,-5.56178E-07,-6.04078E-07,,,And,1,697,,3.008846277,,,
736,738,,,Gl 7,,,0.151197,-27.122139,23.4467,696.09,87.88,0,11.73,9.88,,1.493,20.852074,0.825903,-10.689089,0.00000142,0.00007924,0.00000889,0.039583382,-0.47337062,3.37474E-06,4.26054E-07,,,Scl,1,736,,0.009727472,,11.807,11.657
744,746,432,21,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,0.00001681,0.00004329,0.00000239,0.040025853,1.032358404,2.53747E-06,-8.74701E-07,Bet,11,Cas,1,744,,30.06076303,Bet,2.303,2.263
763,765,496,25,Gl 9.1,Eps Phe,,0.156836,-45.747426,44.2087,122.15,-180.13,-9.2,3.88,0.652,K0III,1.013,30.82377,1.266396,-31.665333,-0.00003526,0.00002475,-0.0000202,0.041059679,-0.798443209,5.922E-07,-8.73295E-07,Eps,,Phe,1,763,,47.77492347,,,
895,897,,,NN 3011,,,0.184614,-5.78397,25.5428,255.86,10.17,-5.2,10.86,8.824,M2,1.418,25.383037,1.227767,-2.574146,-0.00000669,0.0000314,0.00000179,0.048331837,-0.100949315,1.24044E-06,4.93056E-08,,,Psc,1,895,,0.025727643,,10.926,10.796
908,910,693,33,Gl 10,6    Cet,,0.187739,-15.467977,18.7477,-84.2,-269.31,14.6,4.89,3.525,F5V,0.487,18.046958,0.887717,-5.000042,0.00000823,-0.00000726,-0.00002757,0.049149857,-0.269967134,-4.08213E-07,-1.30565E-06,,6,Cet,1,908,,3.388441561,,,
914,916,,,NN 3012,,,0.189173,58.349916,28.082,233.48,21.92,0,9.5,7.258,K7,1.254,14.7174,0.729614,23.905324,-0.00000411,0.00003162,0.00000157,0.049525374,1.018398151,1.13194E-06,1.06271E-07,,,Cas,1,914,,0.108842874,,,
927,929,741,,Gl 10.1,,,0.192482,-58.909841,58.3431,270.7,-4.97,-4.6,8.34,4.51,G4V,0.619,30.089294,1.517859,-49.962416,-0.00000748,0.00007628,0.0000033,0.050391688,-1.028170689,1.31239E-06,-2.40952E-08,,,Tuc,1,927,,1.367728826,,,
948,950,739,35,NN 3013,The Scl,,0.195552,-35.133119,21.2766,169.01,113.75,-13.5,5.24,3.6,F3/F5V,0.459,17.377471,0.890451,-12.244148,-0.00000543,0.00001718,0.00001754,0.051195353,-0.613188612,8.19384E-07,5.51476E-07,The,,Scl,1,948,,3.16227766,,,
1065,1067,886,39,,88Gam Peg,Algenib,0.220598,15.183596,120.048,4.7,-8.24,4,2.83,-2.567,B2IV,-0.19,115.664183,6.687324,31.442127,0.00000504,0.00000303,-0.00000356,0.057752413,0.26500374,2.27862E-08,-3.99486E-08,Gam,88,Peg,1,1065,,926.4031007,Gam,2.846,2.816
1066,1068,,,Gl 11A,,,0.220849,69.326881,20.0361,717.01,-292.41,0,12.49,10.981,M6,1.4,7.061621,0.40914,18.745971,0.00002251,0.00007106,-0.00001003,0.057818143,1.209982341,3.47616E-06,-1.41764E-06,,,,1,1066,Gl  11,0.00352858,,12.806,12.206
1090,1092,,,NN 3014A,,,0.22721,80.665782,19.5886,250.86,182.1,0,11.14,9.68,M0,1.556,3.171508,0.18905,19.329227,-0.00001845,0.00002277,0.0000028,0.059483483,1.407883488,1.2162E-06,8.82846E-07,,,Cep,1,1090,NN 3014,0.011694994,,11.208,11.048
1240,1242,,,GJ 1005A,,,0.257803,-16.133807,4.9868,728.18,-617.48,-29,11.49,13.001,M:,1.75,4.779241,0.32306,-1.385667,-0.00003375,0.00001536,-0.0000061,0.067492759,-0.281588059,3.53032E-06,-2.99363E-06,,,Cet,1,1240,GJ 1005,0.000549035,,11.558,11.378
1276,1276,,,NN 3020,,,0.267224,-48.260852,22.7842,-46.25,-238.51,0,11.58,9.792,M5,1.647,15.131259,1.060284,-17.001193,-0.00001925,-0.00000647,-0.00001754,0.069959101,-0.842310767,-2.24226E-07,-1.15633E-06,,,Phe,1,1276,,0.010548726,,11.71,11.47
